,title,id,genres,cast,keywords,plot,word_soup
2579,Keanu,342521,"['action', 'comedy']","['jordanpeele', 'keegan-michaelkey', 'tiffanyhaddish']","['hitman', 'stripclub', 'africanamerican']",Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,hitman stripclub africanamerican action comedy jordanpeele keegan-michaelkey tiffanyhaddish
2580,Country Strong,45272,"['drama', 'romance']","['gwynethpaltrow', 'garretthedlund', 'timmcgraw']","['suicide', 'alcohol', 'adultery']","Soon after the rising young singer-songwriter Beau Williams gets involved with a fallen, emotionally unstable country star Kelly Canter, the pair embark on a career resurrection tour helmed by her husband/manager James and featuring a beauty queen-turned-singer Chiles Stanton. Between concerts, romantic entanglements and old demons threaten to derail them all.",suicide alcohol adultery drama romance gwynethpaltrow garretthedlund timmcgraw
2581,Disturbing Behavior,9424,"['mystery', 'horror', 'sciencefiction']","['jamesmarsden', 'katieholmes', 'nickstahl']","['suicide', 'sex', 'island']","Steve Clark (James Marsden) is a newcomer in the town of Cradle Bay, and he quickly realizes that there's something odd about his high school classmates. The clique known as the ""Blue Ribbons"" are the eerie embodiment of academic excellence and clean living. But, like the rest of the town, they're a little too perfect. When Steve's rebellious friend Gavin (Nick Stahl) mysteriously joins their ranks, Steve searches for the truth with fellow misfit Rachel (Katie Holmes).",suicide sex island mystery horror sciencefiction jamesmarsden katieholmes nickstahl
2582,The Place Beyond the Pines,97367,"['drama', 'crime']","['ryangosling', 'bradleycooper', 'evamendes']","['corruption', 'fathersonrelationship', 'carnival']","A motorcycle stunt rider considers committing a crime in order to provide for his wife and child, an act that puts him on a collision course with a cop-turned-politician.",corruption fathersonrelationship carnival drama crime ryangosling bradleycooper evamendes
2583,The November Man,254904,"['crime', 'action', 'thriller']","['piercebrosnan', 'lukebracey', 'olgakurylenko']","['cia', 'retired', 'agent']",An ex- CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,cia retired agent crime action thriller piercebrosnan lukebracey olgakurylenko
2584,Eye of the Beholder,18681,"['drama', 'mystery', 'thriller']","['ewanmcgregor', 'ashleyjudd', 'patrickbergin']","['beautifulwoman', 'serialkiller', 'secretservice']","A reclusive surveillance expert is hired to spy on a mysterious blackmailer, who just may be a serial killer.",beautifulwoman serialkiller secretservice drama mystery thriller ewanmcgregor ashleyjudd patrickbergin
2585,The Hurt Locker,12162,"['drama', 'thriller', 'war']","['jeremyrenner', 'anthonymackie', 'briangeraghty']","['sniper', 'explosive', 'loyalty']","Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",sniper explosive loyalty drama thriller war jeremyrenner anthonymackie briangeraghty
2586,Firestarter,11495,"['fantasy', 'drama', 'horror']","['davidkeith', 'drewbarrymore', 'freddiejones']","['fire', 'telepathy', 'intelligence']","As youths, Andy McGee (David Keith) and his future wife, Vicky (Heather Locklear), participated in secret experiments, allowing themselves to be subjected to mysterious medical tests. Years later, the couple's daughter, Charlie (Drew Barrymore), begins to exhibit the ability of setting fires solely with her mind. This volatile talent makes the youngster extremely dangerous and soon she becomes a target for the enigmatic agency known as ""The Shop.""",fire telepathy intelligence fantasy drama horror davidkeith drewbarrymore freddiejones
2587,Killing Them Softly,64689,"['crime', 'thriller']","['bradpitt', 'scootmcnairy', 'benmendelsohn']","['poker', 'gambling', 'robbery']","Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",poker gambling robbery crime thriller bradpitt scootmcnairy benmendelsohn
2588,A Most Wanted Man,157849,['thriller'],"['philipseymourhoffman', 'rachelmcadams', 'robinwright']","['terror', 'muslim', 'intelligence']","When a half-Chechen, half-Russian, tortured half-to-death immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist?",terror muslim intelligence thriller philipseymourhoffman rachelmcadams robinwright
2589,Freddy Got Fingered,13166,['comedy'],"['tomgreen', 'riptorn', 'marisacoughlan']","['wheelchair', 'slacker', 'sausage']","An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",wheelchair slacker sausage comedy tomgreen riptorn marisacoughlan
2590,VeggieTales: The Pirates Who Don't Do Anything,15511,"['adventure', 'animation', 'comedy']","['philvischer', 'mikenawrocki', 'camclarke']","['brotherbrotherrelationship', 'hostage', 'vegetable']","Set Sail For Adventure! A boatload of beloved VeggieTales pals embark on a fun and fresh pirate adventure with their trademark humor and silly songs in The Pirates Who Don't Do Anything - A VeggieTales Movie! Larry the Cucumber, Mr. Lunt and Pa Grape find themselves on the ride of their lives when they are mysteriously whisked back to the time when pirates ruled the high seas.",brotherbrotherrelationship hostage vegetable adventure animation comedy philvischer mikenawrocki camclarke
2591,U2 3D,37003,"['music', 'documentary']","['bono', 'theedge', 'adamclayton']",[],"A 3-D presentation of U2's global ""Vertigo"" tour. Shot at seven different shows, this production employs the greatest number of 3-D cameras ever used for a single project.", music documentary bono theedge adamclayton
2592,Highlander: Endgame,12211,"['action', 'fantasy', 'sciencefiction']","['christopherlambert', 'brucepayne', 'adrianpaul']","['lossoflover', 'antiquary', 'lossofpowers']","Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",lossoflover antiquary lossofpowers action fantasy sciencefiction christopherlambert brucepayne adrianpaul
2593,Idlewild,13816,"['crime', 'drama', 'music']","['andrébenjamin', 'paulapatton', 'terrencehoward']","['mortician', 'tiedtochair', 'songanddance']","A musical set in the Prohibition-era American South, where a speakeasy performer and club manager Rooster must contend with gangsters who have their eyes on the club while his piano player and partner Percival must choose between his love, Angel or his obligations to his father.",mortician tiedtochair songanddance crime drama music andrébenjamin paulapatton terrencehoward
2594,One Day,51828,"['drama', 'romance']","['annehathaway', 'jimsturgess', 'patriciaclarkson']","['basedonnovel', 'comedian', 'job']","A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",basedonnovel comedian job drama romance annehathaway jimsturgess patriciaclarkson
2595,Whip It,22798,['drama'],"['ellenpage', 'aliashawkat', 'kristenwiig']","['sport', 'rollerderby', 'duringcreditsstinger']","In Bodeen, Texas, Land Of The Dragon, an indie-rock loving misfit finds a way of dealing with her small-town misery after she discovers a roller derby league in nearby Austin.",sport rollerderby duringcreditsstinger drama ellenpage aliashawkat kristenwiig
2596,Knockaround Guys,7501,"['crime', 'thriller']","['barrypepper', 'andydavoli', 'sethgreen']","['montana', 'sheriff', 'pileofdeadbodies']",Four sons of well-known New York mobsters must retrieve a bag of cash from a small Montana town ruled by a corrupt sheriff.,montana sheriff pileofdeadbodies crime thriller barrypepper andydavoli sethgreen
2597,Confidence,10743,"['action', 'comedy', 'thriller']","['edwardburns', 'rachelweisz', 'morrischestnut']","['grifter', 'con', 'bigcon']","What Jake Vig doesn't know just might get him killed. A sharp and polished grifter, Jake has just swindled thousands of dollars from the unsuspecting Lionel Dolby with the help of his crew. It becomes clear that Lionel wasn't just any mark, he was an accountant for eccentric crime boss Winston King. Jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their debt.",grifter con bigcon action comedy thriller edwardburns rachelweisz morrischestnut
2598,The Muse,37718,"['fantasy', 'comedy']","['albertbrooks', 'sharonstone', 'andiemacdowell']","['screenwriter', 'muse']","What happens when a screenwriter (Brooks) loses his edge, he turns to anyone he can for help... even if it's the mythical ""Zeus's Daughter"" (Stone). And he's willing to pay, albeit reluctantly, whatever price it takes to satisfy this goddess, especially when her advice gets him going again on a sure-fire script. However, this is not the limit of her help, she also gets the writer's wife (MacDowell) going on her own bakery enterprise, much to the chagrin of Brooks, who has already had to make many personal sacrifices for his own help.",screenwriter muse fantasy comedy albertbrooks sharonstone andiemacdowell
2599,De-Lovely,15237,"['drama', 'music']","['kevinkline', 'ashleyjudd', 'jonathanpryce']","['musical', 'biography', 'hollywood']","From Paris to Venice to Broadway to Hollywood, the lives of Cole Porter and his wife, Linda were never less than glamorous and wildly unconventional. And though Cole's thirst for life strained their marriage, Linda never stopped being his muse, inspiring some of the greatest sons of the twentieth century.",musical biography hollywood drama music kevinkline ashleyjudd jonathanpryce
2600,New York Stories,9686,"['comedy', 'drama', 'romance']","['woodyallen', 'marvinchatinover', 'maequestel']","['newyork', 'mother', 'hotel']","Three stories happening in New York. The first, by Scorsese, is about a painter who creates his works helped by high volume music and an attractive assistant; second, by Coppola, is about a rich and bold 12 years old who helps her separated parents to reconciliate; third, by Allen, is a witty piece of comedy about the impossibility of getting rid of the son's role.",newyork mother hotel comedy drama romance woodyallen marvinchatinover maequestel
2601,Barney's Great Adventure,17644,['family'],[],[],"Mom and dad dump son Cody, daughter Abby, her best friend Marcella and a baby on the farm with Grandpa and Grandma. Purple dinosaur Barney soon appears to entertain kids, and when a large colorful egg deposited on a farm by a shooting star is accidentally carted off, Barney and kids start their chase for it", family 
2602,The Man with the Iron Fists,97430,['action'],"['russellcrowe', 'lucyliu', 'jamiechung']","['blacksmith', 'brothel', 'femmefatale']","In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers.",blacksmith brothel femmefatale action russellcrowe lucyliu jamiechung
2603,Home Fries,12257,"['drama', 'comedy', 'romance']","['drewbarrymore', ""catherineo'hara"", 'lukewilson']","['waitress', 'infidelity', 'plannedmurder']","Dorian and Angus chase down their womanizing stepfather with a helicopter, frightening him to death. In his effort to cover their tracks, Dorian begins investigating his stepfather's mistress, Sally. She works at a fast-food drive-through, she's pregnant and Dorian quickly falls in love with her. Unfortunately, his scheming mother wants Sally dead. And Sally isn't sure she wants Dorian to be her child's father and also his brother.",waitress infidelity plannedmurder drama comedy romance drewbarrymore catherineo'hara lukewilson
2604,Here On Earth,13539,['romance'],"['leeleesobieski', 'chrisklein', 'joshhartnett']","['carrace', 'privateschool', 'diner']",A rich college kid is taught a lesson after a joy ride ends up destroying a country restaurant.,carrace privateschool diner romance leeleesobieski chrisklein joshhartnett
2605,Brazil,68,"['comedy', 'sciencefiction']","['jonathanpryce', 'robertdeniro', 'katherinehelmond']","['bureaucracy', 'policestate', 'terror']","Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",bureaucracy policestate terror comedy sciencefiction jonathanpryce robertdeniro katherinehelmond
2606,Raise Your Voice,14024,"['music', 'drama', 'romance']","['hilaryduff', 'oliverjames', 'davidkeith']","['music', ""life'sdream"", 'aspiringsinger']","Raise Your Voice is a coming-of-age story centered around a small-town singer, brokenhearted by the death of her brother in a car crash, who had secretly submitted her for a summer session at a performing arts academy in Los Angeles. In the performing arts academy, she experiences a whole new way of life in the big city, far from the small town lifestyle she's used to.",music life'sdream aspiringsinger music drama romance hilaryduff oliverjames davidkeith
2607,The Big Lebowski,115,"['comedy', 'crime']","['jeffbridges', 'johngoodman', 'juliannemoore']","['whiterussian', 'dude', 'bowling']","Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",whiterussian dude bowling comedy crime jeffbridges johngoodman juliannemoore
2608,Black Snake Moan,7874,['drama'],"['samuell.jackson', 'christinaricci', 'justintimberlake']","['southernusa', 'blues', 'militaryservice']","A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, is looking everywhere for love, but never quite finding it.",southernusa blues militaryservice drama samuell.jackson christinaricci justintimberlake
2609,Dark Blue,4911,"['action', 'crime', 'drama']","['kurtrussell', 'scottspeedman', 'michaelmichele']","['corruption', 'policebrutality', 'riot']","Set during the Rodney King riots, a robbery homicide investigation triggers a series of events that will cause a corrupt LAPD officer to question his tactics.",corruption policebrutality riot action crime drama kurtrussell scottspeedman michaelmichele
2610,A Mighty Heart,1988,"['drama', 'thriller']","['angelinajolie', 'danfutterman', 'irrfankhan']","['terror', 'journalism', 'newlove']","Based on Mariane Pearl's account of the terrifying and unforgettable story of her husband, Wall Street Journal reporter Danny Pearl's life and death.",terror journalism newlove drama thriller angelinajolie danfutterman irrfankhan
2611,Whatever It Takes,16222,"['drama', 'comedy', 'romance']","[""jodilyno'keefe"", 'shanewest', 'marlasokoloff']",[],"A nerdy teen, Ryan Woodman is smitten with the popular and gorgeous Ashley Grant, who apparently has no interest in him. Meanwhile, dim star athlete Chris Campbell has his eye on Ryan's brainy and beautiful friend, Maggie Carter. The two agree to help each other in their romantic quests, but, as they come closer to their goals, both Ryan and Chris suspect that they might be pursuing the wrong girls.", drama comedy romance jodilyno'keefe shanewest marlasokoloff
2612,Boat Trip,9557,['comedy'],"['cubagoodingjr.', 'horatiosanz', 'roselynsánchez']","['gay', 'bikini', 'cruiseship']","Two straight men mistakenly end up on a ""gays only"" cruise.",gay bikini cruiseship comedy cubagoodingjr. horatiosanz roselynsánchez
2613,The Importance of Being Earnest,9026,"['comedy', 'drama', 'history']","['ruperteverett', 'colinfirth', 'reesewitherspoon']","['newlove', 'countryestate', 'countryhouse']","Two young gentlemen living in 1890s England use the same pseudonym (""Ernest"") on the sly, which is fine until they both fall in love with women using that name, which leads to a comedy of mistaken identities...",newlove countryestate countryhouse comedy drama history ruperteverett colinfirth reesewitherspoon
2614,The Love Letter,57943,"['comedy', 'drama', 'fantasy']","['campbellscott', 'jenniferjasonleigh', 'daviddukes']",[],20th century computer games designer Scott exchanges love letters with 19th century poet Elizabeth Whitcomb through an antique desk that can make letters travel through time., comedy drama fantasy campbellscott jenniferjasonleigh daviddukes
2615,Hoot,18276,"['drama', 'family']","['lukewilson', 'loganlerman', 'brielarson']","['owl', 'teenager', 'animalprotection']","A young man (Lerman) moves from Montana to Florida with his family, where he's compelled to engage in a fight to protect a population of endangered owls.",owl teenager animalprotection drama family lukewilson loganlerman brielarson
2616,In Bruges,8321,"['comedy', 'drama', 'crime']","['colinfarrell', 'brendangleeson', 'ralphfiennes']","['brugesbelgium', 'townsquare', 'vietnamese']","Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",brugesbelgium townsquare vietnamese comedy drama crime colinfarrell brendangleeson ralphfiennes
2617,Peeples,72359,['comedy'],"['craigrobinson', 'kerrywashington', 'davidalangrier']","['duringcreditsstinger', 'womandirector']",The story follows what happens when a child psychologist surprises his girlfriend by showing up at her political family's annual get-together at their Sag Harbor vacation home only to find them desperately in need of therapy.,duringcreditsstinger womandirector comedy craigrobinson kerrywashington davidalangrier
2618,The Rocker,10186,"['comedy', 'music']","['rainnwilson', 'joshgad', 'christinaapplegate']","['1970s', 'drums', 'groupie']","Rob ""Fish"" Fishman is the drummer in '80s hair metal band Vesuvius. He's unceremoniously booted as the group signs a big record deal, is out of the music world for 20 years - and then receives a second chance with his nephew's band.",1970s drums groupie comedy music rainnwilson joshgad christinaapplegate
2619,Post Grad,25704,['comedy'],"['alexisbledel', 'zachgilford', 'rodrigosantoro']","['career', 'family', 'unemployment']","Ryden Malby has a master plan. Graduate college, get a great job, hang out with her best friend and find the perfect guy. But her plan spins hilariously out of control when she’s forced to move back home with her eccentric family.",career family unemployment comedy alexisbledel zachgilford rodrigosantoro
2620,Promised Land,133694,['drama'],"['mattdamon', 'johnkrasinski', 'francesmcdormand']","['smalltown', 'campaign', 'salesman']","A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",smalltown campaign salesman drama mattdamon johnkrasinski francesmcdormand
2621,Whatever Works,19265,"['comedy', 'romance']","['larrydavid', 'evanrachelwood', 'adambrooks']","['loveatfirstsight', 'runaway', 'agedifference']","Whatever Works explores the relationship between a crotchety misanthrope, Boris and a naïve, impressionable young runaway from the south, Melody. When Melody's uptight parents arrive in New York to rescue her, they are quickly drawn into wildly unexpected romantic entanglements. Everyone discovers that finding love is just a combination of lucky chance and appreciating the value of ""whatever works.""",loveatfirstsight runaway agedifference comedy romance larrydavid evanrachelwood adambrooks
2622,The In Crowd,36047,['thriller'],"['susanward', 'loriheuring', 'matthewsettle']",['womandirector'],"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",womandirector thriller susanward loriheuring matthewsettle
2623,The Three Burials of Melquiades Estrada,8053,"['adventure', 'crime', 'drama']","['tommyleejones', 'barrypepper', 'dwightyoakam']","['borderpatrol', 'unitedstates–mexicobarrier', 'promise']","When brash Texas border officer Mike Norton (Barry Pepper) wrongfully kills and buries the friend and ranch hand of Pete Perkins (Tommy Lee Jones), the latter is reminded of a promise he made to bury his friend, Melquiades Estrada (Julio Cesar Cedillo), in his Mexican home town. He kidnaps Norton and exhumes Estrada's corpse, and the odd caravan sets out on horseback for Mexico. As Estrada's body begins to rot, Norton begins to unravel, but Perkins remains determined to honor his vow.",borderpatrol unitedstates–mexicobarrier promise adventure crime drama tommyleejones barrypepper dwightyoakam
2624,Jakob the Liar,2290,"['comedy', 'drama', 'history']","['robinwilliams', 'arminmueller-stahl', 'hannahtaylor-gordon']","['jewry', 'schutzstaffel', 'jewishlife']","In 1944 Poland, a Jewish shop keeper named Jakob is summoned to ghetto headquarters after being caught out after curfew. While waiting for the German Kommondant, Jakob overhears a German radio broadcast about Russian troop movements. Returned to the ghetto, the shopkeeper shares his information with a friend and then rumors fly that there is a secret radio within the ghetto.",jewry schutzstaffel jewishlife comedy drama history robinwilliams arminmueller-stahl hannahtaylor-gordon
2625,Kiss Kiss Bang Bang,5236,"['action', 'comedy', 'crime']","['robertdowneyjr.', 'valkilmer', 'michellemonaghan']","['detective', 'loser', 'custodybattle']",A petty thief posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl and a detective who's been training him for his upcoming role...,detective loser custodybattle action comedy crime robertdowneyjr. valkilmer michellemonaghan
2626,Idle Hands,6552,"['thriller', 'comedy', 'horror']","['devonsawa', 'sethgreen', 'jessicaalba']","['teenager', 'attic', 'knittingneedle']","Anton is a cheerful but exceedingly non-ambitious 17-year-old stoner who lives to stay buzzed, watch TV, and moon over Molly, the beautiful girl who lives next door. However, it turns out that the old cliché about idle hands being the devil's playground has a kernel of truth after all.",teenager attic knittingneedle thriller comedy horror devonsawa sethgreen jessicaalba
2627,Mulholland Drive,1018,"['thriller', 'drama', 'mystery']","['naomiwatts', 'lauraharring', 'annmiller']","['schizophrenia', 'identity', 'amnesia']","After a car wreck on the winding Mulholland Drive renders a woman amnesic, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",schizophrenia identity amnesia thriller drama mystery naomiwatts lauraharring annmiller
2628,Blood and Chocolate,10075,"['drama', 'fantasy', 'horror']","['agnesbruckner', 'hughdancy', 'katjariemann']","['chocolate', 'werewolf', 'womandirector']",A young teenage werewolf is torn between honoring her family's secret and her love for a man.,chocolate werewolf womandirector drama fantasy horror agnesbruckner hughdancy katjariemann
2629,You Will Meet a Tall Dark Stranger,38031,"['comedy', 'drama', 'romance']","['gemmajones', 'anthonyhopkins', 'naomiwatts']",[],"Two married couples find only trouble and heartache as their complicated lives unfold. After 40 years of marriage, Alfie leaves his wife to pursue what he thinks is happiness with a call girl. His wife, Helena, reeling from abandonment, decides to follow the advice of a psychic. Sally, the daughter of Alfie and Helena, is unhappy in her marriage and develops a crush on her boss, while her husband, Roy, falls for a woman engaged to be married.", comedy drama romance gemmajones anthonyhopkins naomiwatts
2630,Never Let Me Go,42188,"['drama', 'romance', 'sciencefiction']","['careymulligan', 'andrewgarfield', 'keiraknightley']","['soul', 'basedonnovel', 'sadness']","As children, Kathy, Ruth, and Tommy spend their childhood at an idyllic and secluded English boarding school. As they grow into adults, they must come to terms with the complexity and strength of their love for one another while also preparing for the haunting reality awaiting them.",soul basedonnovel sadness drama romance sciencefiction careymulligan andrewgarfield keiraknightley
2631,The Company,112430,['drama'],"[""chriso'donnell"", 'alfredmolina', 'michaelkeaton']",['miniseries'],"Real-life figures from the Cold War era mix with a fictional story based on a group of CIA operatives and their counterparts in the KGB, MI6, and the Mossad.",miniseries drama chriso'donnell alfredmolina michaelkeaton
2632,Transsiberian,6687,"['thriller', 'crime', 'mystery']","['woodyharrelson', 'emilymortimer', 'katemara']","['china', 'marriedcouple', 'backpacker']",A Trans-Siberian train journey from China to Moscow becomes a thrilling chase of deception and murder when an American couple encounters a mysterious pair of fellow travelers.,china marriedcouple backpacker thriller crime mystery woodyharrelson emilymortimer katemara
2633,The Clan of the Cave Bear,13853,"['adventure', 'drama']","['darylhannah', 'pamelareed', 'jamesremar']","['stoneage', 'tribe', 'cavemen']","Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",stoneage tribe cavemen adventure drama darylhannah pamelareed jamesremar
2634,Crazy in Alabama,31306,"['comedy', 'drama']","['melaniegriffith', 'davidmorse', 'lucasblack']",[],An abused wife heads to California to become a movie star while her nephew back in Alabama has to deal with a racially-motivated murder involving a corrupt sheriff., comedy drama melaniegriffith davidmorse lucasblack
2635,Funny Games,8461,"['horror', 'thriller', 'crime']","['naomiwatts', 'timroth', 'michaelpitt']","['brotherbrotherrelationship', 'boat', 'psychopath']","When Ann, husband George and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive.",brotherbrotherrelationship boat psychopath horror thriller crime naomiwatts timroth michaelpitt
2636,Listening,331592,"['drama', 'thriller', 'sciencefiction']","['thomasstroppel', 'artieahr', 'ambermariebollinger']","['secret', 'telepathy', 'technology']","For years, we have tried to harness the power of the human mind… and failed. Now, one breakthrough will change everything. Beyond technology. Beyond humanity. Beyond control. David, Ryan, and Jordan hope the telepathy invention will solve all their problems, but the bleeding-edge technology opens a Pandora’s box of new dangers, as the team discovers that when they open their minds, there is nowhere to hide their thoughts.",secret telepathy technology drama thriller sciencefiction thomasstroppel artieahr ambermariebollinger
2637,Felicia's Journey,47692,['drama'],"['bobhoskins', 'elainecassidy', 'arsinéekhanjian']","['suspense', 'seriesofmurders']","A solitary middle-aged bachelor and a naive Irish teenager transform one another's lives to arrive at a place of recognition, redemption and wisdom in Atom Egoyan's adaptation of William Trevor's celebrated 1994 novel. Seventeen and pregnant, Felicia travels to England in search of her lover and is found instead by Joseph Ambrose Hilditch, a helpful catering manager whose kindness masks a serial killer. Hilditch has murdered several young women, but he has no conscious awareness of the crimes; like Felicia, he doesn't see his true self. Felicia's Journey is a story of innocence lost and regained: Felicia awakens to the world's dangers and duplicities; and Hilditch, who grew up lonely and unloved, comes to realize what was taken from him, and what he himself has taken.",suspense seriesofmurders drama bobhoskins elainecassidy arsinéekhanjian
2638,Metropolis,19,"['drama', 'sciencefiction']","['brigittehelm', 'alfredabel', 'gustavfröhlich']","['manvsmachine', 'undergroundworld', 'inventor']","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",manvsmachine undergroundworld inventor drama sciencefiction brigittehelm alfredabel gustavfröhlich
2639,Banlieue 13,10045,"['action', 'thriller', 'sciencefiction']","['davidbelle', 'cyrilraffaelli', ""tonyd'amario""]","['paris', 'bomb', 'vororte']","Set in the ghettos of Paris in 2010, an undercover cop and ex-thug try to infiltrate a gang in order to defuse a neutron bomb.",paris bomb vororte action thriller sciencefiction davidbelle cyrilraffaelli tonyd'amario
2640,Things to Do in Denver When You're Dead,400,"['drama', 'crime']","['andygarcía', 'christopherlloyd', 'williamforsythe']","['fathersonrelationship', 'bountyhunter', 'boat']",A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,fathersonrelationship bountyhunter boat drama crime andygarcía christopherlloyd williamforsythe
2641,刺客聶隱娘,253450,"['action', 'drama', 'history']","['shuqi', 'changchen', 'nikkihsieh']","['assassin', 'tangdynasty', 'ancientchina']",A female assassin during the Tang Dynasty who begins to question her loyalties when she falls in love with one of her targets.,assassin tangdynasty ancientchina action drama history shuqi changchen nikkihsieh
2642,Buffalo Soldiers,9104,"['drama', 'comedy', 'war']","['joaquinphoenix', 'edharris', 'scottglenn']","['germany', 'corruption', 'sex']","Set just before the fall of the Berlin Wall in 1989, Sgt. Ray Elwood is an American soldier stationed at a German army camp. A soldier because a judge gave him a choice between the army and jail, Ray spends much of his free time cooking cocaine for the MPs. When a soldier dies and a toxicology screen shows an alarming level of illegal narcotics, someone is sent in to investigate.",germany corruption sex drama comedy war joaquinphoenix edharris scottglenn
2643,Возвращение,11190,"['thriller', 'drama', 'mystery']","['vladimirgarin', 'konstantinlavronenko', 'nataliyavdovina']","['return', 'brother', 'heavyrain']",A story of two Russian boys whose father suddenly returns home after a 12-year absence. He takes the boys on a holiday to a remote island on a lake that turns into a test of manhood of almost mythic proportions.,return brother heavyrain thriller drama mystery vladimirgarin konstantinlavronenko nataliyavdovina
2644,Ong Bak 2,16353,"['adventure', 'action', 'thriller']","['tonyjaa', 'sarunyuwongkrachang', 'sorapongchatree']",['sequel'],Moments from death a young man is rescued by a renowned warrior. Realizing unsurpassed physical potential in the young boy he trains him into the most dangerous man alive. As he becomes a young man he goes on a lone mission of vengeance against the vicious slave traders who enslaved him as a youth and the treacherous warlord who killed his father.,sequel adventure action thriller tonyjaa sarunyuwongkrachang sorapongchatree
2645,Centurion,23759,"['adventure', 'action', 'drama']","['michaelfassbender', 'olgakurylenko', 'davidmorrissey']","['romanempire', 'ancientrome', 'ancientworld']","Britain, A.D. 117. Quintus Dias, the sole survivor of a Pictish raid on a Roman frontier fort, marches north with General Virilus' legendary Ninth Legion, under orders to wipe the Picts from the face of the Earth and destroy their leader, Gorlacon.",romanempire ancientrome ancientworld adventure action drama michaelfassbender olgakurylenko davidmorrissey
2646,Silent Trigger,24206,"['drama', 'action', 'thriller']","['dolphlundgren', 'ginabellman', 'conraddunn']",[],"Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets.", drama action thriller dolphlundgren ginabellman conraddunn
